"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131270976,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:58",0
131270977,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270978,"104","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270979,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270980,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270981,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270982,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270983,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270984,"103","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270985,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270986,"103","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270987,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270988,"101","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270989,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270990,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270991,"103","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270992,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270993,"102","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270994,"103","195","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270995,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:51:59",0
131270996,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131270997,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131270998,"103","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131270999,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271000,"103","197","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271001,"105","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271002,"104","196","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271003,"100","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271004,"99","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271005,"95","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271006,"93","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271007,"95","196","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271008,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271009,"94","197","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271010,"96","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271011,"97","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271012,"99","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
131271013,"107","195","F0:08:D1:D0:7B:84","2025-01-30 19:52:00",0
