"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
130865974,"104","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865973,"104","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865972,"199","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865971,"197","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865970,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865969,"103","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865975,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:45",0
130865962,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865963,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865968,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865967,"101","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865966,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865965,"103","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865964,"105","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:44",0
130865954,"197","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865956,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865957,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865958,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865959,"199","195","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865960,"104","195","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865961,"106","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865955,"103","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:43",0
130865948,"105","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865947,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865949,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865950,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865951,"104","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865952,"103","195","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865953,"101","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:42",0
130865941,"103","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865942,"199","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865943,"103","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865944,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865945,"104","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865946,"106","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865939,"106","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865940,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:41",0
130865932,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865934,"198","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865935,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865936,"100","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865937,"103","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865938,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865933,"102","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:40",0
130865926,"98","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865927,"98","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865928,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865929,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865930,"97","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865931,"98","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865925,"2","199","F0:08:D1:D0:7B:84","2025-01-27 18:25:39",0
130865918,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865917,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865919,"101","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865920,"27","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865921,"197","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865922,"23","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865923,"9","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865924,"2","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:38",0
130865913,"196","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865912,"115","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865911,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865910,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865915,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865914,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865916,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:37",0
130865903,"197","199","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865905,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865906,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865908,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865907,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865909,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865904,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:36",0
130865902,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865901,"103","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865900,"102","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865899,"99","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865898,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865897,"90","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865896,"197","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865895,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:35",0
130865894,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",0
130865893,"67","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",0
130865892,"198","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",0
130865891,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",0
130865890,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",0
130865889,"0","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",64
130865888,"0","218","F0:08:D1:D0:7B:84","2025-01-27 18:25:34",64
130865880,"198","82","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865887,"33","219","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865886,"30","218","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865885,"206","219","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865884,"202","33","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865883,"196","31","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865882,"197","68","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865881,"197","67","F0:08:D1:D0:7B:84","2025-01-27 18:25:33",0
130865879,"196","82","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865878,"197","93","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865877,"196","93","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865876,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865875,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865874,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865873,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:32",0
130865872,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865871,"196","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865870,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865869,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865868,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865867,"198","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865866,"198","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:31",0
130865865,"196","199","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865864,"196","199","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865863,"197","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865862,"197","198","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865859,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865860,"196","197","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865861,"197","196","F0:08:D1:D0:7B:84","2025-01-27 18:25:30",0
130865854,"197","0","F0:08:D1:D0:7B:84","2025-01-27 18:25:29",32
130865851,"30","31","F0:08:D1:D0:7B:84","2025-01-27 18:25:29",0
130865852,"0","30","F0:08:D1:D0:7B:84","2025-01-27 18:25:29",64
130865853,"0","33","F0:08:D1:D0:7B:84","2025-01-27 18:25:29",64
