"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
127745105,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:54",0
127745104,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:54",0
127745103,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:54",0
127745102,"196","198","F0:08:D1:D0:7B:84","2025-01-21 18:12:54",0
127745101,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:54",0
127745097,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745096,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745095,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745094,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745093,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745092,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745091,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745090,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745088,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745087,"152","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745086,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745084,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745085,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745100,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745099,"152","198","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745098,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745089,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:53",0
127745071,"196","198","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745083,"164","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745082,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745081,"91","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745080,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745079,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745078,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745077,"167","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745076,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745075,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745074,"196","198","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745073,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745072,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745070,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745069,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745068,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745067,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745066,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:52",0
127745050,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745065,"148","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745064,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745063,"193","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745062,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745061,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745060,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745059,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745058,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745057,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745056,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745055,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745049,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745054,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745053,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745052,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745051,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:51",0
127745034,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745048,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745047,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745046,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745045,"155","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745044,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745043,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745042,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745041,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745040,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745039,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745038,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745037,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745036,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745035,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745033,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745032,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745031,"117","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:50",0
127745013,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745030,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745029,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745028,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745027,"114","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745026,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745025,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745024,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745023,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745022,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745021,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745020,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745019,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745018,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745017,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745016,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745015,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745014,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:49",0
127745004,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745012,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745011,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745010,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745009,"102","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745008,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745007,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745006,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745005,"151","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745003,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745002,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745001,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127745000,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127744999,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127744998,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127744997,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127744996,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:48",0
127744978,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744995,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744994,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744993,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744992,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744991,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744990,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744989,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744988,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744987,"181","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744986,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744985,"139","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744984,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744983,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744982,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744981,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744980,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744979,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:47",0
127744964,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744977,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744976,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744975,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744974,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744973,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744972,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744971,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744970,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744962,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744969,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744968,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744967,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744966,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744965,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744961,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744963,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:46",0
127744956,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744954,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744953,"103","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744952,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744951,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744950,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744949,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744948,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744947,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744946,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744945,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744944,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744943,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744960,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744959,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744958,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744957,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744955,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:45",0
127744940,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744938,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744937,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744936,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744935,"110","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744934,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744933,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
127744932,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:12:44",0
