"id","installation_id","device_id","temperature","humidity","number_people","measured_at","tvoc","co2"
1041477,3,9,"27","53",-4,"2025-01-21 18:54:34","0","0"
1041475,3,9,"26.9","53",-4,"2025-01-21 18:54:19","0","0"
1041473,3,9,"27","54",-4,"2025-01-21 18:54:04","0","0"
1041471,3,9,"27","54",-4,"2025-01-21 18:53:49","0","0"
1041469,3,9,"27","54",-4,"2025-01-21 18:53:34","0","0"
1041467,3,9,"27","54",-4,"2025-01-21 18:53:19","0","0"
1041465,3,9,"27","54",-4,"2025-01-21 18:53:04","0","0"
1041463,3,9,"27","54",-4,"2025-01-21 18:52:49","0","0"
1041461,3,9,"27","54",-4,"2025-01-21 18:52:34","0","0"
1041459,3,9,"27","54",-4,"2025-01-21 18:52:19","0","0"
1041457,3,9,"27","55",-4,"2025-01-21 18:52:04","0","0"
1041455,3,9,"27","54",-4,"2025-01-21 18:51:49","0","0"
1041453,3,9,"26.9","55",-4,"2025-01-21 18:51:34","0","0"
1041451,3,9,"26.9","55",-4,"2025-01-21 18:51:19","0","0"
1041449,3,9,"0","0",-4,"2025-01-21 18:51:04","0","0"
1041447,3,9,"26.9","55",-4,"2025-01-21 18:50:49","0","0"
1041445,3,9,"26.9","55",-4,"2025-01-21 18:50:34","0","0"
1041443,3,9,"26.9","56",-4,"2025-01-21 18:50:19","0","0"
1041441,3,9,"26.9","56",-4,"2025-01-21 18:50:04","0","0"
1041439,3,9,"0","0",-4,"2025-01-21 18:49:50","0","0"
1041437,3,9,"26.9","56",-4,"2025-01-21 18:49:34","0","0"
1041435,3,9,"26.9","57",-4,"2025-01-21 18:49:19","0","0"
1041433,3,9,"26.9","57",-4,"2025-01-21 18:49:04","0","0"
1041431,3,9,"26.9","57",-4,"2025-01-21 18:48:49","0","0"
