"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
127774253,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:30",0
127774248,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:29",0
127774252,"93","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:29",0
127774251,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:29",0
127774250,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:29",0
127774249,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:29",0
127774245,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:28",0
127774247,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:28",0
127774246,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:28",0
127774244,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:28",0
127774241,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:27",0
127774243,"102","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:27",0
127774242,"100","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:27",0
127774240,"3","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:27",0
127774237,"107","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:26",0
127774239,"23","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:26",0
127774238,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:26",0
127774236,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:26",0
127774232,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:25",0
127774235,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:25",0
127774234,"139","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:25",0
127774233,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:25",0
127774227,"0","201","F0:08:D1:D0:7B:84","2025-01-21 18:37:24",64
127774231,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:37:24",0
127774230,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:24",0
127774229,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:24",0
127774228,"199","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:24",0
127774224,"200","27","F0:08:D1:D0:7B:84","2025-01-21 18:37:23",0
127774226,"29","219","F0:08:D1:D0:7B:84","2025-01-21 18:37:23",0
127774225,"200","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:23",0
127774223,"199","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:23",32
127774220,"146","29","F0:08:D1:D0:7B:84","2025-01-21 18:37:22",0
127774222,"200","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:22",32
127774221,"200","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:22",0
127774219,"33","27","F0:08:D1:D0:7B:84","2025-01-21 18:37:22",0
127774216,"200","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:21",32
127774218,"90","26","F0:08:D1:D0:7B:84","2025-01-21 18:37:21",0
127774217,"199","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:21",32
127774215,"199","24","F0:08:D1:D0:7B:84","2025-01-21 18:37:21",0
127774211,"199","30","F0:08:D1:D0:7B:84","2025-01-21 18:37:20",0
127774214,"200","23","F0:08:D1:D0:7B:84","2025-01-21 18:37:20",0
127774213,"200","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:20",32
127774212,"181","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:20",32
127774210,"199","26","F0:08:D1:D0:7B:84","2025-01-21 18:37:20",0
127774209,"198","26","F0:08:D1:D0:7B:84","2025-01-21 18:37:19",0
127774208,"135","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:19",32
127774207,"33","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:19",32
127774206,"198","204","F0:08:D1:D0:7B:84","2025-01-21 18:37:19",0
127774202,"197","23","F0:08:D1:D0:7B:84","2025-01-21 18:37:18",0
127774205,"198","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:18",0
127774204,"197","217","F0:08:D1:D0:7B:84","2025-01-21 18:37:18",0
127774203,"199","22","F0:08:D1:D0:7B:84","2025-01-21 18:37:18",0
127774199,"0","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:17",64
127774201,"196","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:17",32
127774200,"202","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:17",0
127774198,"87","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:17",32
127774195,"28","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:16",0
127774197,"200","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:16",32
127774196,"150","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:16",32
127774194,"222","219","F0:08:D1:D0:7B:84","2025-01-21 18:37:16",0
127774190,"21","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:15",0
127774193,"0","219","F0:08:D1:D0:7B:84","2025-01-21 18:37:15",64
127774192,"22","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:15",0
127774191,"21","217","F0:08:D1:D0:7B:84","2025-01-21 18:37:15",0
127773989,"0","21","F0:08:D1:D0:7B:84","2025-01-21 18:37:15",64
127773985,"0","30","F0:08:D1:D0:7B:84","2025-01-21 18:37:14",64
127773988,"0","22","F0:08:D1:D0:7B:84","2025-01-21 18:37:14",64
127773987,"0","24","F0:08:D1:D0:7B:84","2025-01-21 18:37:14",64
127773986,"229","23","F0:08:D1:D0:7B:84","2025-01-21 18:37:14",0
127773981,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:13",0
127773984,"110","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:13",0
127773983,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:13",0
127773982,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:13",0
127773978,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:12",0
127773980,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:12",0
127773979,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:12",0
127773977,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:12",0
127773973,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:11",0
127773976,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:11",0
127773975,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:11",0
127773974,"113","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:11",0
127773972,"160","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:11",0
127773969,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:10",0
127773971,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:10",0
127773970,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:10",0
127773968,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:10",0
127773966,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:09",0
127773964,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:09",0
127773967,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:09",0
127773965,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:09",0
127773961,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:08",0
127773963,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:08",0
127773962,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:08",0
127773960,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:08",0
127773956,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:07",0
127773959,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:37:07",0
127773958,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:07",0
127773957,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:07",0
127773953,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:06",0
127773955,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:06",0
127773954,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:06",0
127773952,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:37:06",0
127773948,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:05",0
127773951,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:05",0
127773950,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:05",0
127773949,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:37:05",0
127773947,"199","197","F0:08:D1:D0:7B:84","2025-01-21 18:37:05",0
127773944,"222","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:04",0
127773946,"223","202","F0:08:D1:D0:7B:84","2025-01-21 18:37:04",0
127773945,"28","203","F0:08:D1:D0:7B:84","2025-01-21 18:37:04",0
127773943,"24","26","F0:08:D1:D0:7B:84","2025-01-21 18:37:04",0
127773939,"31","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:03",32
127773942,"0","23","F0:08:D1:D0:7B:84","2025-01-21 18:37:03",64
127773941,"0","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:03",64
127773940,"34","26","F0:08:D1:D0:7B:84","2025-01-21 18:37:03",0
127773938,"33","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:02",32
127773937,"205","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:02",0
127773936,"30","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:02",0
127773935,"0","25","F0:08:D1:D0:7B:84","2025-01-21 18:37:02",64
127773930,"222","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:01",0
127773931,"22","218","F0:08:D1:D0:7B:84","2025-01-21 18:37:01",0
127773934,"27","75","F0:08:D1:D0:7B:84","2025-01-21 18:37:01",0
127773933,"26","0","F0:08:D1:D0:7B:84","2025-01-21 18:37:01",32
127773932,"25","24","F0:08:D1:D0:7B:84","2025-01-21 18:37:01",0
127773927,"223","50","F0:08:D1:D0:7B:84","2025-01-21 18:37:00",0
127773929,"0","220","F0:08:D1:D0:7B:84","2025-01-21 18:37:00",64
127773928,"222","51","F0:08:D1:D0:7B:84","2025-01-21 18:37:00",0
127773726,"221","219","F0:08:D1:D0:7B:84","2025-01-21 18:37:00",0
127773723,"197","26","F0:08:D1:D0:7B:84","2025-01-21 18:36:59",0
127773725,"25","218","F0:08:D1:D0:7B:84","2025-01-21 18:36:59",0
127773724,"25","217","F0:08:D1:D0:7B:84","2025-01-21 18:36:59",0
127773722,"195","25","F0:08:D1:D0:7B:84","2025-01-21 18:36:59",0
127773718,"195","203","F0:08:D1:D0:7B:84","2025-01-21 18:36:58",0
127773721,"195","203","F0:08:D1:D0:7B:84","2025-01-21 18:36:58",0
127773720,"195","200","F0:08:D1:D0:7B:84","2025-01-21 18:36:58",0
127773719,"195","205","F0:08:D1:D0:7B:84","2025-01-21 18:36:58",0
127773717,"195","200","F0:08:D1:D0:7B:84","2025-01-21 18:36:58",0
127773714,"196","23","F0:08:D1:D0:7B:84","2025-01-21 18:36:57",0
127773716,"173","205","F0:08:D1:D0:7B:84","2025-01-21 18:36:57",0
127773715,"194","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:57",0
127773713,"195","25","F0:08:D1:D0:7B:84","2025-01-21 18:36:57",0
127773709,"25","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:56",0
127773712,"24","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:56",0
127773711,"22","23","F0:08:D1:D0:7B:84","2025-01-21 18:36:56",0
127773710,"22","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:56",0
127773706,"0","26","F0:08:D1:D0:7B:84","2025-01-21 18:36:55",64
127773708,"0","27","F0:08:D1:D0:7B:84","2025-01-21 18:36:55",64
127773707,"0","26","F0:08:D1:D0:7B:84","2025-01-21 18:36:55",64
127773705,"215","27","F0:08:D1:D0:7B:84","2025-01-21 18:36:55",0
127773701,"28","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:54",0
127773704,"24","25","F0:08:D1:D0:7B:84","2025-01-21 18:36:54",0
127773703,"23","28","F0:08:D1:D0:7B:84","2025-01-21 18:36:54",0
127773702,"0","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:54",64
127773700,"27","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:54",0
127773697,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:53",0
127773699,"32","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:53",0
127773698,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:53",0
127773696,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:53",0
127773693,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:52",0
127773695,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:52",0
127773694,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:52",0
127773692,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:52",0
127773690,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:51",0
127773691,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:51",0
127773689,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:51",0
127773688,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:51",0
127773683,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:50",0
127773687,"195","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:50",0
127773686,"83","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:50",0
127773685,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:50",0
127773684,"174","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:50",0
127773680,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:49",0
127773682,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:49",0
127773681,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:49",0
127773679,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:49",0
127773676,"188","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:48",0
127773678,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:48",0
127773677,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:48",0
127773675,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:48",0
127773672,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:47",0
127773674,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:47",0
127773673,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:47",0
127773671,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:47",0
127773669,"195","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:46",0
127773670,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:46",0
127773667,"200","200","F0:08:D1:D0:7B:84","2025-01-21 18:36:46",0
127773668,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:46",0
127773663,"197","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:45",0
127773462,"197","26","F0:08:D1:D0:7B:84","2025-01-21 18:36:45",0
127773664,"0","27","F0:08:D1:D0:7B:84","2025-01-21 18:36:45",64
127773665,"24","220","F0:08:D1:D0:7B:84","2025-01-21 18:36:45",0
127773666,"26","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:45",0
127773458,"196","27","F0:08:D1:D0:7B:84","2025-01-21 18:36:44",0
127773461,"196","0","F0:08:D1:D0:7B:84","2025-01-21 18:36:44",32
127773460,"196","0","F0:08:D1:D0:7B:84","2025-01-21 18:36:44",32
127773459,"196","0","F0:08:D1:D0:7B:84","2025-01-21 18:36:44",32
127773455,"201","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:43",0
127773457,"196","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:43",0
127773456,"149","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:43",0
127773454,"22","23","F0:08:D1:D0:7B:84","2025-01-21 18:36:43",0
127773451,"221","200","F0:08:D1:D0:7B:84","2025-01-21 18:36:42",0
127773453,"25","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:42",0
127773452,"197","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:42",0
127773450,"23","221","F0:08:D1:D0:7B:84","2025-01-21 18:36:42",0
127773446,"21","219","F0:08:D1:D0:7B:84","2025-01-21 18:36:41",0
127773449,"21","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:41",0
127773448,"20","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:41",0
127773447,"21","200","F0:08:D1:D0:7B:84","2025-01-21 18:36:41",0
127773445,"198","26","F0:08:D1:D0:7B:84","2025-01-21 18:36:41",0
127773441,"195","21","F0:08:D1:D0:7B:84","2025-01-21 18:36:40",0
127773444,"196","217","F0:08:D1:D0:7B:84","2025-01-21 18:36:40",0
127773443,"195","25","F0:08:D1:D0:7B:84","2025-01-21 18:36:40",0
127773442,"195","23","F0:08:D1:D0:7B:84","2025-01-21 18:36:40",0
127773440,"134","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:39",0
127773439,"196","23","F0:08:D1:D0:7B:84","2025-01-21 18:36:39",0
127773438,"198","25","F0:08:D1:D0:7B:84","2025-01-21 18:36:39",0
127773437,"198","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:39",0
127773432,"0","26","F0:08:D1:D0:7B:84","2025-01-21 18:36:38",64
127773433,"201","0","F0:08:D1:D0:7B:84","2025-01-21 18:36:38",32
127773436,"206","22","F0:08:D1:D0:7B:84","2025-01-21 18:36:38",0
127773435,"0","0","F0:08:D1:D0:7B:84","2025-01-21 18:36:38",64
127773434,"0","0","F0:08:D1:D0:7B:84","2025-01-21 18:36:38",32
127773429,"21","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:37",0
127773431,"0","23","F0:08:D1:D0:7B:84","2025-01-21 18:36:37",64
127773430,"20","27","F0:08:D1:D0:7B:84","2025-01-21 18:36:37",0
127773428,"0","202","F0:08:D1:D0:7B:84","2025-01-21 18:36:37",64
127773425,"194","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:36",0
127773427,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:36",0
127773426,"194","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:36",0
127773424,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:36",0
127773421,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:35",0
127773423,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:35",0
127773422,"195","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:35",0
127773420,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:35",0
127773416,"195","198","F0:08:D1:D0:7B:84","2025-01-21 18:36:34",0
127773419,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:34",0
127773418,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:34",0
127773417,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:34",0
127773411,"99","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:33",0
127773415,"195","105","F0:08:D1:D0:7B:84","2025-01-21 18:36:33",0
127773414,"24","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:33",0
127773413,"2","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:33",0
127773412,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:33",0
127773408,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:32",0
127773410,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:32",0
127773409,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:32",0
127773407,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:32",0
127773404,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:31",0
127773406,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:31",0
127773405,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:31",0
127773403,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:31",0
127773400,"79","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:30",0
127773402,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:30",0
127773401,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:30",0
127773199,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:30",0
127773196,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:29",0
127773198,"149","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:29",0
127773197,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:29",0
127773195,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:29",0
127773193,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:28",0
127773194,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:28",0
127773192,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:28",0
127773191,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:28",0
127773190,"194","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:28",0
127773186,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:27",0
127773189,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:27",0
127773188,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:27",0
127773187,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:27",0
127773183,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:26",0
127773185,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:26",0
127773184,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:26",0
127773182,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:26",0
127773179,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:25",0
127773181,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:25",0
127773180,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:25",0
127773178,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:25",0
127773175,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:24",0
127773177,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:24",0
127773176,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:24",0
127773174,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:24",0
127773171,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:23",0
127773173,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:23",0
127773169,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:23",0
127773172,"175","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:23",0
127773170,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:23",0
127773168,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:22",0
127773167,"196","196","F0:08:D1:D0:7B:84","2025-01-21 18:36:22",0
127773166,"95","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:22",0
127773165,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:22",0
127773161,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:21",0
127773164,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:21",0
127773163,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:21",0
127773162,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:21",0
127773158,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:20",0
127773160,"196","197","F0:08:D1:D0:7B:84","2025-01-21 18:36:20",0
127773159,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:20",0
127773157,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:20",0
127773154,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:19",0
127773156,"196","195","F0:08:D1:D0:7B:84","2025-01-21 18:36:19",0
