"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136097881,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:30.892",0
136097882,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:30.949",0
136097883,"199","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.006",0
136097884,"197","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.063",0
136097885,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.122",0
136097886,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.179",0
136097887,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.236",0
136097888,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.293",0
136097889,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.351",0
136097890,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.408",0
136097891,"197","199","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.465",0
136097892,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.523",0
136097893,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.58",0
136097894,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.638",0
136097895,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.695",0
136097896,"199","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.754",0
136097897,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.811",0
136097898,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.868",0
136097899,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.926",0
136097900,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:31.983",0
136097901,"197","199","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.043",0
136097902,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.1",0
136097903,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.158",0
136097904,"198","199","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.215",0
136097905,"198","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.274",0
136097906,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.331",0
136097907,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.388",0
136097908,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.445",0
136097909,"197","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.502",0
136097910,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.56",0
136097911,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.617",0
136097912,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.675",0
136097913,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.734",0
136097914,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.791",0
136097915,"199","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.848",0
136097916,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.905",0
136097917,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:32.965",0
136097918,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.024",0
136097919,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.082",0
136097920,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.14",0
136097921,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.199",0
136097922,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.256",0
136097923,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.313",0
136097924,"103","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.365",0
136097925,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.422",0
136097926,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.479",0
136097927,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.536",0
136097928,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.591",0
136097929,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.648",0
136097930,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.705",0
136097931,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.762",0
136097932,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.819",0
136097933,"200","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.876",0
136097934,"199","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.933",0
136097935,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:33.991",0
136097936,"199","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.048",0
136097937,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.105",0
136097938,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.162",0
136097939,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.22",0
136097940,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.277",0
136097941,"200","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.334",0
136097942,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.391",0
136097943,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.448",0
136097944,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.506",0
136097945,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.563",0
136097946,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.62",0
136097947,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.677",0
136097948,"199","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.734",0
136097949,"199","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.791",0
136097950,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.848",0
136097951,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.905",0
136097952,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:34.962",0
136097953,"198","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.02",0
136097954,"197","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.077",0
136097955,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.134",0
136097956,"197","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.191",0
136097957,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.248",0
136097958,"197","196","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.305",0
136097959,"197","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.362",0
136097960,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.419",0
136097961,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.476",0
136097962,"197","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.534",0
136097963,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.592",0
136097964,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.649",0
136097965,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.706",0
136097966,"198","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.764",0
136097967,"197","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.821",0
136097968,"199","198","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.876",0
136097969,"101","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.925",0
136097970,"200","197","F0:08:D1:D0:7B:84","2025-02-05 12:55:35.981",0
