"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136276097,"198","198","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.643",0
136276098,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.7",0
136276099,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.758",0
136276100,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.815",0
136276101,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.872",0
136276102,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.929",0
136276103,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:01.986",0
136276104,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.043",0
136276105,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.101",0
136276106,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.158",0
136276107,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.215",0
136276108,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.272",0
136276109,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.329",0
136276110,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.386",0
136276111,"197","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.443",0
136276112,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.5",0
136276113,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.558",0
136276114,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.615",0
136276115,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.675",0
136276116,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.732",0
136276117,"197","198","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.787",0
136276118,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.844",0
136276119,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.902",0
136276120,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:02.959",0
136276121,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.014",0
136276122,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.07",0
136276123,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.127",0
136276124,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.187",0
136276125,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.244",0
136276126,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.302",0
136276127,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.359",0
136276128,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.416",0
136276129,"197","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.473",0
136276130,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.53",0
136276131,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.587",0
136276132,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.644",0
136276133,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.702",0
136276134,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.759",0
136276135,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.817",0
136276136,"198","198","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.874",0
136276137,"197","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.932",0
136276138,"198","198","F0:08:D1:D0:7B:84","2025-02-05 15:52:03.99",0
136276139,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.047",0
136276140,"197","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.104",0
136276141,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.161",0
136276142,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.218",0
136276143,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.275",0
136276144,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.332",0
136276145,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.389",0
136276146,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.446",0
136276147,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.504",0
136276148,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.561",0
136276149,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.62",0
136276150,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.678",0
136276151,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.735",0
136276152,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.792",0
136276153,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.849",0
136276154,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.906",0
136276155,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:04.963",0
136276156,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.02",0
136276157,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.077",0
136276158,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.134",0
136276159,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.191",0
136276160,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.248",0
136276161,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.305",0
136276162,"200","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.362",0
136276163,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.419",0
136276164,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.476",0
136276165,"199","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.533",0
136276166,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.59",0
136276167,"199","198","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.648",0
136276168,"199","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.705",0
136276169,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.763",0
136276170,"198","198","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.821",0
136276171,"200","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.877",0
136276172,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.934",0
136276173,"200","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:05.991",0
136276174,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.048",0
136276175,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.105",0
136276176,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.162",0
136276177,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.22",0
136276178,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.277",0
136276179,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.334",0
136276180,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.391",0
136276181,"199","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.448",0
136276182,"200","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.505",0
136276183,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.565",0
136276184,"197","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.622",0
136276185,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.68",0
136276186,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.737",0
136276187,"199","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.795",0
136276188,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.852",0
136276189,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.911",0
136276190,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:06.968",0
136276191,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.025",0
136276192,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.082",0
136276193,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.139",0
136276194,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.196",0
136276195,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.253",0
136276196,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.31",0
136276197,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.367",0
136276198,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.424",0
136276199,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.481",0
136276200,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.538",0
136276201,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.595",0
136276202,"198","195","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.652",0
136276203,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.707",0
136276204,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.762",0
136276205,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.817",0
136276206,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.872",0
136276207,"197","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.927",0
136276208,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:07.982",0
136276209,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.037",0
136276210,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.092",0
136276211,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.151",0
136276212,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.209",0
136276213,"197","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.266",0
136276214,"198","197","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.323",0
136276215,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.38",0
136276216,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.437",0
136276217,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.494",0
136276218,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.551",0
136276219,"198","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.608",0
136276220,"199","196","F0:08:D1:D0:7B:84","2025-02-05 15:52:08.665",0
