"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136114589,"197","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:13.897",0
136114590,"199","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:13.955",0
136114591,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.012",0
136114592,"199","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.069",0
136114593,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.126",0
136114594,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.183",0
136114595,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.24",0
136114596,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.298",0
136114597,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.356",0
136114598,"200","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.414",0
136114599,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.471",0
136114600,"198","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.528",0
136114601,"198","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.585",0
136114602,"105","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.637",0
136114603,"200","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.694",0
136114604,"199","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.751",0
136114605,"97","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.802",0
136114606,"97","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.853",0
136114607,"96","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.904",0
136114608,"100","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:14.956",0
136114609,"95","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.007",0
136114610,"98","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.059",0
136114611,"198","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.116",0
136114612,"105","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.168",0
136114613,"198","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.223",0
136114614,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.28",0
136114615,"112","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.333",0
136114616,"102","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.385",0
136114617,"100","201","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.437",0
136114618,"3","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.483",0
136114619,"3","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.528",0
136114620,"24","105","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.569",0
136114621,"196","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.626",0
136114622,"197","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.683",0
136114623,"101","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.734",0
136114624,"197","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.791",0
136114625,"103","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.843",0
136114626,"200","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.901",0
136114627,"197","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:15.958",0
136114628,"109","199","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.01",0
136114629,"198","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.067",0
136114630,"196","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.124",0
136114631,"198","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.181",0
136114632,"196","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.238",0
136114633,"198","164","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.293",0
136114634,"197","200","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.35",0
136114635,"196","164","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.405",0
136114636,"197","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.462",0
136114637,"198","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.519",0
136114638,"163","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.574",0
136114639,"196","166","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.63",0
136114640,"197","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.687",0
136114641,"197","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.744",0
136114642,"49","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.793",0
136114643,"51","120","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.837",0
136114644,"0","200","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.904",64
136114645,"0","203","F0:08:D1:D0:7B:84","2025-02-05 13:11:16.972",64
136114646,"39","204","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.021",0
136114647,"40","39","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.06",0
136114648,"201","38","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.109",0
136114649,"201","203","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.167",0
136114650,"197","207","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.225",0
136114651,"108","39","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.268",0
136114652,"198","209","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.326",0
136114653,"197","42","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.374",0
136114654,"197","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.431",0
136114655,"196","200","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.489",0
136114656,"102","200","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.543",0
136114657,"99","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.594",0
136114658,"77","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.644",0
136114659,"99","67","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.688",0
136114660,"27","71","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.728",0
136114661,"29","196","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.775",0
136114662,"95","197","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.826",0
136114663,"101","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.877",0
136114664,"28","101","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.918",0
136114665,"195","94","F0:08:D1:D0:7B:84","2025-02-05 13:11:17.969",0
136114666,"23","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.016",0
136114667,"23","102","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.056",0
136114668,"4","101","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.096",0
136114669,"3","97","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.135",0
136114670,"3","195","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.181",0
136114671,"3","104","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.221",0
136114672,"3","198","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.267",0
136114673,"3","96","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.306",0
136114674,"3","99","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.346",0
136114675,"4","98","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.387",0
136114676,"102","101","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.433",0
136114677,"102","98","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.479",0
136114678,"102","98","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.525",0
136114679,"101","108","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.572",0
136114680,"104","105","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.619",0
136114681,"103","99","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.666",0
136114682,"199","101","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.717",0
136114683,"198","99","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.771",0
136114684,"105","101","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.818",0
136114685,"199","101","F0:08:D1:D0:7B:84","2025-02-05 13:11:18.87",0
