"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136317048,"198","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:58.997",0
136317049,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.054",0
136317050,"199","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.109",0
136317051,"103","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.159",0
136317052,"199","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.214",0
136317053,"199","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.271",0
136317054,"199","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.328",0
136317055,"108","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.382",0
136317056,"102","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.433",0
136317057,"100","198","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.485",0
136317058,"99","197","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.536",0
136317059,"100","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.588",0
136317060,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.645",0
136317061,"101","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.697",0
136317062,"100","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.748",0
136317063,"103","197","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.8",0
136317064,"103","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.852",0
136317065,"102","195","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.904",0
136317066,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:30:59.961",0
136317067,"100","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.013",0
136317068,"99","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.065",0
136317069,"100","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.117",0
136317070,"108","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.169",0
136317071,"96","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.22",0
136317072,"95","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.271",0
136317073,"99","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.323",0
136317074,"98","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.375",0
136317075,"198","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.432",0
136317076,"199","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.49",0
136317077,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.547",0
136317078,"199","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.604",0
136317079,"100","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.656",0
136317080,"108","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.708",0
136317081,"108","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.76",0
136317082,"108","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.812",0
136317083,"102","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.864",0
136317084,"100","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.915",0
136317085,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:00.972",0
136317086,"108","198","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.024",0
136317087,"101","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.076",0
136317088,"101","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.127",0
136317089,"198","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.184",0
136317090,"100","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.235",0
136317091,"106","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.287",0
136317092,"106","198","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.339",0
136317093,"106","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.391",0
136317094,"102","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.442",0
136317095,"108","198","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.494",0
136317096,"110","202","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.548",0
136317097,"3","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.595",0
136317098,"3","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.64",0
136317099,"3","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.684",0
136317100,"3","103","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.724",0
136317101,"24","103","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.766",0
136317102,"24","149","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.811",0
136317103,"199","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.868",0
136317104,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.925",0
136317105,"29","198","F0:08:D1:D0:7B:84","2025-02-05 16:31:01.973",0
136317106,"195","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.03",0
136317107,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.088",0
136317108,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.145",0
136317109,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.202",0
136317110,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.259",0
136317111,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.316",0
136317112,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.373",0
136317113,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.43",0
136317114,"105","80","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.474",0
136317115,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.531",0
136317116,"197","162","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.586",0
136317117,"163","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.641",0
136317118,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.698",0
136317119,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.755",0
136317120,"196","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.812",0
136317121,"196","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.869",0
136317122,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.926",0
136317123,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:02.985",0
136317124,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.043",0
136317125,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.1",0
136317126,"196","199","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.157",0
136317127,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.215",0
136317128,"196","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.272",0
136317129,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.329",0
136317130,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.386",0
136317131,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.444",0
136317132,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.499",0
136317133,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.554",0
136317134,"197","199","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.609",0
136317135,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.666",0
136317136,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.723",0
136317137,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.778",0
136317138,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.832",0
136317139,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.889",0
136317140,"198","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:03.946",0
136317141,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.003",0
136317142,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.06",0
136317143,"198","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.117",0
136317144,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.174",0
136317145,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.231",0
136317146,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.288",0
136317147,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.345",0
136317148,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.402",0
136317149,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.459",0
136317150,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.516",0
136317151,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.573",0
136317152,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.63",0
136317153,"196","198","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.686",0
136317154,"198","198","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.743",0
136317155,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.802",0
136317156,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.859",0
136317157,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.916",0
136317158,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:04.975",0
136317159,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.033",0
136317160,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.09",0
136317161,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.147",0
136317162,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.204",0
136317163,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.262",0
136317164,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.319",0
136317165,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.376",0
136317166,"198","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.434",0
136317167,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.492",0
136317168,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.549",0
136317169,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.606",0
136317170,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.663",0
136317171,"196","195","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.72",0
136317172,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.777",0
136317173,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.834",0
136317174,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.892",0
136317175,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:05.949",0
136317176,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:31:06.006",0
