"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136312500,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:26:39.753",0
136312501,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:26:39.81",0
136312502,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:26:39.867",0
136312503,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:39.924",0
136312504,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:39.979",0
136312505,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.036",0
136312506,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.094",0
136312507,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.151",0
136312508,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.209",0
136312509,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.268",0
136312510,"197","195","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.325",0
136312511,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.382",0
136312512,"196","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.438",0
136312513,"196","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.495",0
136312514,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.552",0
136312515,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.609",0
136312516,"197","199","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.666",0
136312517,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.724",0
136312518,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.781",0
136312519,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.838",0
136312520,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.896",0
136312521,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:26:40.953",0
136312522,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.01",0
136312523,"196","197","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.067",0
136312524,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.124",0
136312525,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.181",0
136312526,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.238",0
136312527,"196","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.297",0
136312528,"196","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.354",0
136312529,"196","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.412",0
136312530,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.469",0
136312531,"196","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.527",0
136312532,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.584",0
136312533,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.642",0
136312534,"198","197","F0:08:D1:D0:7B:84","2025-02-05 16:26:41.699",0
