"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136333722,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.466",0
136333723,"198","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.523",0
136333724,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.58",0
136333725,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.637",0
136333726,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.694",0
136333727,"199","195","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.751",0
136333728,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.808",0
136333729,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.865",0
136333730,"198","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.922",0
136333731,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:28.98",0
136333732,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.037",0
136333733,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.094",0
136333734,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.151",0
136333735,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.208",0
136333736,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.265",0
136333737,"199","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.322",0
136333738,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.379",0
136333739,"198","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.434",0
136333740,"199","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.489",0
136333741,"199","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.544",0
136333742,"198","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.599",0
136333743,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.654",0
136333744,"197","197","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.709",0
136333745,"197","198","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.766",0
136333746,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.823",0
136333747,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.88",0
136333748,"199","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.938",0
136333749,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:29.995",0
136333750,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:30.054",0
136333751,"197","196","F0:08:D1:D0:7B:84","2025-02-05 16:46:30.111",0
