"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136768830,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.504",0
136768831,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.559",0
136768832,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.614",0
136768833,"197","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.669",0
136768834,"197","216","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.725",0
136768835,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.78",0
136768836,"197","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.835",0
136768837,"197","214","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.893",0
136768838,"198","216","F0:08:D1:D0:7B:84","2025-02-06 12:57:07.953",0
136768839,"197","215","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.011",0
136768840,"197","215","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.069",0
136768841,"197","200","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.127",0
136768842,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.185",0
136768843,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.243",0
136768844,"197","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.301",0
136768845,"198","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.358",0
136768846,"196","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.413",0
136768847,"198","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.469",0
136768848,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.526",0
136768849,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.582",0
136768850,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.637",0
136768851,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.694",0
136768852,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.752",0
136768853,"198","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.809",0
136768854,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.866",0
136768855,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.921",0
136768856,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:08.978",0
136768857,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.035",0
136768858,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.092",0
136768859,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.149",0
136768860,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.206",0
136768861,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.264",0
136768862,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.322",0
136768863,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.379",0
136768864,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.436",0
136768865,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.493",0
136768866,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.55",0
136768867,"197","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.607",0
136768868,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.664",0
136768869,"198","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.722",0
136768870,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.779",0
136768871,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.836",0
136768872,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.893",0
136768873,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:09.95",0
136768874,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.007",0
136768875,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.064",0
136768876,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.121",0
136768877,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.177",0
136768878,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.234",0
136768879,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.291",0
136768880,"197","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.348",0
136768881,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.403",0
136768882,"198","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.458",0
136768883,"197","199","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.513",0
136768884,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.568",0
136768885,"199","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.623",0
136768886,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.678",0
136768887,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.735",0
136768888,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.792",0
136768889,"198","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.849",0
136768890,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.904",0
136768891,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:10.959",0
136768892,"198","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.014",0
136768893,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.069",0
136768894,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.124",0
136768895,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.179",0
136768896,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.233",0
136768897,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.288",0
136768898,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.347",0
136768899,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.402",0
136768900,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.457",0
136768901,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.512",0
136768902,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.567",0
136768903,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.622",0
136768904,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.677",0
136768905,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.733",0
136768906,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.79",0
136768907,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.846",0
136768908,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:57:11.903",0
