"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136756250,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.495",0
136756251,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.552",0
136756252,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.609",0
136756253,"198","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.666",0
136756254,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.723",0
136756255,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.78",0
136756256,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.837",0
136756257,"200","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.894",0
136756258,"199","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:22.951",0
136756259,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.009",0
136756260,"199","196","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.067",0
136756261,"199","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.122",0
136756262,"199","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.179",0
136756263,"198","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.236",0
136756264,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.295",0
136756265,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.352",0
136756266,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.409",0
136756267,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.466",0
136756268,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.523",0
136756269,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.58",0
136756270,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.637",0
136756271,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.694",0
136756272,"197","195","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.751",0
136756273,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.808",0
136756274,"197","197","F0:08:D1:D0:7B:84","2025-02-06 12:45:23.865",0
