"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136807297,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.204",0
136807298,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.261",0
136807299,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.318",0
136807300,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.377",0
136807301,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.434",0
136807302,"199","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.491",0
136807303,"199","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.548",0
136807304,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.605",0
136807305,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.663",0
136807306,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.719",0
136807307,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.777",0
136807308,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.832",0
136807309,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.889",0
136807310,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:44.946",0
136807311,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.004",0
136807312,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.061",0
136807313,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.119",0
136807314,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.176",0
136807315,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.233",0
136807316,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.29",0
136807317,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.344",0
136807318,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.402",0
136807319,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.46",0
136807320,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.518",0
136807321,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.576",0
136807322,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.633",0
136807323,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.688",0
136807324,"198","200","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.743",0
136807325,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.799",0
136807326,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.856",0
136807327,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.913",0
136807328,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:45.97",0
136807329,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.027",0
136807330,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.084",0
136807331,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.141",0
136807332,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.198",0
136807333,"196","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.255",0
136807334,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.314",0
136807335,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.371",0
136807336,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.428",0
136807337,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.486",0
136807338,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.543",0
136807339,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.601",0
136807340,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.658",0
136807341,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.716",0
136807342,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.773",0
136807343,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.831",0
136807344,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.888",0
136807345,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:46.945",0
136807346,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.002",0
136807347,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.06",0
136807348,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.117",0
136807349,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.174",0
136807350,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.231",0
136807351,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.288",0
136807352,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.345",0
136807353,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.403",0
136807354,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.46",0
136807355,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.518",0
136807356,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.575",0
136807357,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.63",0
136807358,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.685",0
136807359,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.74",0
136807360,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.795",0
136807361,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.85",0
136807362,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.905",0
136807363,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:47.96",0
136807364,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.015",0
136807365,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.074",0
136807366,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.129",0
136807367,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.184",0
136807368,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.239",0
136807369,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.296",0
136807370,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.354",0
136807371,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.412",0
136807372,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.469",0
136807373,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.526",0
136807374,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.584",0
136807375,"199","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.641",0
136807376,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.699",0
136807377,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.756",0
136807378,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.813",0
136807379,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.87",0
136807380,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.927",0
136807381,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:48.984",0
136807382,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.041",0
136807383,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.099",0
136807384,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.155",0
136807385,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.212",0
136807386,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.269",0
136807387,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.327",0
136807388,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.385",0
136807389,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.443",0
136807390,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.501",0
136807391,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.559",0
136807392,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.617",0
136807393,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.674",0
136807394,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.731",0
136807395,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.789",0
136807396,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.846",0
136807397,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.905",0
136807398,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:49.962",0
136807399,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.019",0
136807400,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.076",0
136807401,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.133",0
136807402,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.19",0
136807403,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.246",0
136807404,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.304",0
136807405,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.361",0
136807406,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.417",0
136807407,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.474",0
136807408,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.531",0
136807409,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.588",0
136807410,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.645",0
136807411,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.701",0
136807412,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.758",0
136807413,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.816",0
136807414,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.873",0
136807415,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.928",0
136807416,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:50.985",0
136807417,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.043",0
136807418,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.1",0
136807419,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.157",0
136807420,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.214",0
136807421,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.272",0
136807422,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.329",0
136807423,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.386",0
136807424,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.444",0
136807425,"196","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.501",0
136807426,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.559",0
136807427,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.617",0
136807428,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.674",0
136807429,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.731",0
136807430,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.786",0
136807431,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.841",0
136807432,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.896",0
136807433,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:51.951",0
136807434,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.006",0
136807435,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.061",0
136807436,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.115",0
136807437,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.17",0
136807438,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.228",0
136807439,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.285",0
136807440,"196","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.342",0
136807441,"196","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.4",0
136807442,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.457",0
136807443,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.514",0
136807444,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.574",0
136807445,"196","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.631",0
136807446,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.688",0
136807447,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.745",0
136807448,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.802",0
136807449,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.859",0
136807450,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.916",0
136807451,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:52.973",0
136807452,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.031",0
136807453,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.088",0
136807454,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.145",0
136807455,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.202",0
136807456,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.26",0
136807457,"196","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.317",0
136807458,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.374",0
136807459,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.431",0
136807460,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.49",0
136807461,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.548",0
136807462,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.606",0
136807463,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.663",0
136807464,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.72",0
136807465,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.777",0
136807466,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.834",0
136807467,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.891",0
136807468,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:53.948",0
136807469,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.005",0
136807470,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.062",0
136807471,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.117",0
136807472,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.174",0
136807473,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.231",0
136807474,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.288",0
136807475,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.345",0
136807476,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.402",0
136807477,"112","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.454",0
136807478,"100","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.506",0
136807479,"93","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.557",0
136807480,"91","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.608",0
136807481,"86","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.658",0
136807482,"79","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.708",0
136807483,"79","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.758",0
136807484,"85","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.809",0
136807485,"87","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.86",0
136807486,"87","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.911",0
136807487,"104","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:54.963",0
136807488,"102","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.015",0
136807489,"103","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.066",0
136807490,"196","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.123",0
136807491,"105","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.175",0
136807492,"103","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.228",0
136807493,"101","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.279",0
136807494,"102","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.331",0
136807495,"102","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.382",0
136807496,"99","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.434",0
136807497,"3","106","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.474",0
136807498,"2","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.52",0
136807499,"3","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.565",0
136807500,"26","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.612",0
136807501,"196","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.669",0
136807502,"196","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.727",0
136807503,"29","136","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.771",0
136807504,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.829",0
136807505,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.887",0
136807506,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:55.945",0
136807507,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.002",0
136807508,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.059",0
136807509,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.116",0
136807510,"196","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.174",0
136807511,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.231",0
136807512,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.288",0
136807513,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.345",0
136807514,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.402",0
136807515,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.461",0
136807516,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.518",0
136807517,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.575",0
136807518,"196","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.632",0
136807519,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.689",0
136807520,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.746",0
136807521,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.804",0
136807522,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.861",0
136807523,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.918",0
136807524,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:56.975",0
136807525,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.032",0
136807526,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.09",0
136807527,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.147",0
136807528,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.204",0
136807529,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.263",0
136807530,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.32",0
136807531,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.378",0
136807532,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.436",0
136807533,"196","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.493",0
136807534,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.55",0
136807535,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.609",0
136807536,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.666",0
136807537,"196","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.723",0
136807538,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.781",0
136807539,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.838",0
136807540,"200","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.897",0
136807541,"201","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:57.954",0
136807542,"204","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.013",0
136807543,"204","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.07",0
136807544,"0","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.137",64
136807545,"0","216","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.205",64
136807546,"214","24","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.255",0
136807547,"207","23","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.302",0
136807548,"204","24","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.35",0
136807549,"202","24","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.398",0
136807550,"202","218","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.457",0
136807551,"200","26","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.505",0
136807552,"109","24","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.547",0
136807553,"198","24","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.594",0
136807554,"106","24","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.636",0
136807555,"107","201","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.689",0
136807556,"110","28","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.731",0
136807557,"108","199","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.783",0
136807558,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.838",0
136807559,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.893",0
136807560,"101","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.943",0
136807561,"99","198","F0:08:D1:D0:7B:84","2025-02-06 13:32:58.992",0
136807562,"198","50","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.04",0
136807563,"105","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.091",0
136807564,"101","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.143",0
136807565,"100","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.194",0
136807566,"26","196","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.241",0
136807567,"26","103","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.283",0
136807568,"3","195","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.329",0
136807569,"2","106","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.369",0
136807570,"2","104","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.41",0
136807571,"2","102","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.452",0
136807572,"4","103","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.492",0
136807573,"6","101","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.533",0
136807574,"102","103","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.579",0
136807575,"102","102","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.625",0
136807576,"104","104","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.671",0
136807577,"103","197","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.72",0
136807578,"105","103","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.767",0
136807579,"104","117","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.814",0
136807580,"197","108","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.866",0
136807581,"197","100","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.918",0
136807582,"197","102","F0:08:D1:D0:7B:84","2025-02-06 13:32:59.969",0
136807583,"197","101","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.022",0
136807584,"197","100","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.073",0
136807585,"199","100","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.125",0
136807586,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.182",0
136807587,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.239",0
136807588,"197","97","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.291",0
136807589,"198","105","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.346",0
136807590,"197","192","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.403",0
136807591,"198","99","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.455",0
136807592,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.51",0
136807593,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.568",0
136807594,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.625",0
136807595,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.683",0
136807596,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.74",0
136807597,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.799",0
136807598,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.856",0
136807599,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.912",0
136807600,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:00.97",0
136807601,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.027",0
136807602,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.085",0
136807603,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.142",0
136807604,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.199",0
136807605,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.257",0
136807606,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.314",0
136807607,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:33:01.371",0
