"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136820420,"196","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.004",0
136820421,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.062",0
136820422,"198","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.12",0
136820423,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.179",0
136820424,"196","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.236",0
136820425,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.293",0
136820426,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.351",0
136820427,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.408",0
136820428,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.465",0
136820429,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.523",0
136820430,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.58",0
136820431,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.637",0
136820432,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.694",0
136820433,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.752",0
136820434,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.809",0
136820435,"197","216","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.867",0
136820436,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.924",0
136820437,"197","216","F0:08:D1:D0:7B:84","2025-02-06 13:45:14.983",0
136820438,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.041",0
136820439,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.101",0
136820440,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.157",0
136820441,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.214",0
136820442,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.271",0
136820443,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.328",0
136820444,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.385",0
136820445,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.442",0
136820446,"196","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.499",0
136820447,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.557",0
136820448,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.616",0
136820449,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.673",0
136820450,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.73",0
136820451,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.787",0
136820452,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.844",0
136820453,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.902",0
136820454,"197","217","F0:08:D1:D0:7B:84","2025-02-06 13:45:15.96",0
136820455,"197","215","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.018",0
136820456,"197","215","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.077",0
136820457,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.135",0
136820458,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.19",0
136820459,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.247",0
136820460,"198","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.304",0
136820461,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.361",0
136820462,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.418",0
136820463,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.476",0
136820464,"197","202","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.534",0
136820465,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.591",0
136820466,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.649",0
136820467,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.707",0
136820468,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.764",0
136820469,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.821",0
136820470,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.878",0
136820471,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.935",0
136820472,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:45:16.991",0
136820473,"199","198","F0:08:D1:D0:7B:84","2025-02-06 13:45:17.049",0
