"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136827883,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.29",0
136827884,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.347",0
136827885,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.405",0
136827886,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.462",0
136827887,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.52",0
136827888,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.578",0
136827889,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.635",0
136827890,"198","195","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.692",0
136827891,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.75",0
136827892,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.808",0
136827893,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.865",0
136827894,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.922",0
136827895,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:19.98",0
136827896,"198","200","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.038",0
136827897,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.095",0
136827898,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.152",0
136827899,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.209",0
136827900,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.266",0
136827901,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.323",0
136827902,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.38",0
136827903,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.437",0
136827904,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.494",0
136827905,"196","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.552",0
136827906,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.609",0
136827907,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.666",0
136827908,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.723",0
136827909,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.781",0
136827910,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.839",0
136827911,"197","199","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.896",0
136827912,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:20.953",0
136827913,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.01",0
136827914,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.067",0
136827915,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.124",0
136827916,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.181",0
136827917,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.238",0
136827918,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.296",0
136827919,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.354",0
136827920,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.412",0
136827921,"197","200","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.47",0
136827922,"198","199","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.527",0
136827923,"197","198","F0:08:D1:D0:7B:84","2025-02-06 13:52:21.584",0
