"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136814970,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.427",0
136814971,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.484",0
136814972,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.541",0
136814973,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.598",0
136814974,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.657",0
136814975,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.714",0
136814976,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.771",0
136814977,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.828",0
136814978,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.885",0
136814979,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.942",0
136814980,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:49.999",0
136814981,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.056",0
136814982,"197","195","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.113",0
136814983,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.17",0
136814984,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.227",0
136814985,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.284",0
136814986,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.341",0
136814987,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.398",0
136814988,"200","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.457",0
136814989,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.514",0
136814990,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.571",0
136814991,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.628",0
136814992,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.685",0
136814993,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.743",0
136814994,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.801",0
136814995,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.858",0
136814996,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.915",0
136814997,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:50.972",0
136814998,"200","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.028",0
136814999,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.083",0
136815000,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.14",0
136815001,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.199",0
136815002,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.256",0
136815003,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.313",0
136815004,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.37",0
136815005,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.427",0
136815006,"198","198","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.484",0
136815007,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.541",0
136815008,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.598",0
136815009,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.655",0
136815010,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.712",0
136815011,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.769",0
136815012,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.826",0
136815013,"200","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.883",0
136815014,"199","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.94",0
136815015,"197","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:51.997",0
136815016,"197","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.054",0
136815017,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.111",0
136815018,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.168",0
136815019,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.225",0
136815020,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.282",0
136815021,"198","197","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.339",0
136815022,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.396",0
136815023,"198","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.453",0
136815024,"199","196","F0:08:D1:D0:7B:84","2025-02-06 13:39:52.51",0
