"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
136763178,"196","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.56",0
136763179,"196","102","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.612",0
136763180,"196","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.669",0
136763181,"196","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.726",0
136763182,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.783",0
136763183,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.841",0
136763184,"196","100","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.89",0
136763185,"196","103","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.94",0
136763186,"197","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:50.995",0
136763187,"196","100","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.045",0
136763188,"196","197","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.1",0
136763189,"198","102","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.15",0
136763190,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.205",0
136763191,"197","102","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.255",0
136763192,"196","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.31",0
136763193,"196","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.368",0
136763194,"196","198","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.425",0
136763195,"196","102","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.477",0
136763196,"196","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.534",0
136763197,"198","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.586",0
136763198,"196","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.638",0
136763199,"198","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.69",0
136763200,"196","102","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.743",0
136763201,"197","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.795",0
136763202,"197","102","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.846",0
136763203,"198","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.898",0
136763204,"197","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:51.949",0
136763205,"198","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.001",0
136763206,"198","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.052",0
136763207,"197","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.104",0
136763208,"197","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.155",0
136763209,"198","101","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.207",0
136763210,"198","196","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.264",0
136763211,"197","198","F0:08:D1:D0:7B:84","2025-02-06 12:51:52.321",0
