"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131258339,"199","197","F0:08:D1:D0:7B:84","2025-01-30 19:43:58",0
131258340,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:58",0
131258341,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:58",0
131258342,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:43:58",0
131258343,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258344,"199","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258345,"198","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258346,"199","197","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258347,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258348,"199","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258349,"199","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258350,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258351,"198","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258352,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258353,"199","195","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258354,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258355,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258356,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258357,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258358,"199","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258359,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:43:59",0
131258360,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258361,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258362,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258363,"199","195","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258364,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258365,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258366,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258367,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258368,"199","195","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258369,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258370,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258371,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258372,"105","195","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258373,"106","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258374,"198","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258375,"198","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258376,"100","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258377,"96","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:00",0
131258378,"96","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258379,"96","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258380,"86","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258381,"84","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258382,"87","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258383,"88","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258384,"95","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258385,"99","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258386,"96","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258387,"100","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258388,"100","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258389,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258390,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258391,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258392,"105","196","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
131258393,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:44:01",0
