"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
130881075,"196","198","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881076,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881074,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881073,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881072,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881071,"196","195","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881070,"196","198","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881069,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881068,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881067,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881066,"196","195","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881065,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881077,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:02:59",0
130881078,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881079,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881080,"198","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881081,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881082,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881083,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881084,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881085,"197","198","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881086,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881087,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881088,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881089,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881090,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:00",0
130881091,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881092,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881093,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881094,"198","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881095,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881096,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881097,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881098,"198","198","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881099,"198","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881100,"198","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881101,"196","199","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881102,"197","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881103,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:01",0
130881104,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881105,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881106,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881107,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881108,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881109,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881110,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881111,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881112,"196","199","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881113,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881114,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881115,"196","197","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881116,"198","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:02",0
130881117,"196","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:03",0
130881118,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:03",0
130881119,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:03",0
130881120,"197","196","F0:08:D1:D0:7B:84","2025-01-29 18:03:03",0
