"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
130943604,"198","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943605,"198","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943606,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943607,"197","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943608,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943609,"199","292","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943610,"199","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943611,"199","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943612,"200","201","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943613,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943614,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943615,"198","222","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943616,"200","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:25",0
130943617,"197","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943618,"197","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943619,"198","222","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943620,"199","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943621,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943622,"198","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943623,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943624,"199","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943625,"198","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943626,"198","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943627,"199","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943628,"199","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943629,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:26",0
130943630,"199","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943631,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943632,"199","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943633,"198","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943634,"199","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943635,"204","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943636,"204","198","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943637,"199","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943638,"199","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943639,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943640,"198","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943641,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:27",0
130943642,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943643,"198","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943644,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943645,"201","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943646,"202","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943647,"202","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943648,"202","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943649,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943650,"199","201","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943651,"198","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943652,"205","201","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943653,"199","200","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943654,"198","201","F0:08:D1:D0:7B:84","2025-01-29 19:28:28",0
130943655,"202","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:29",0
130943656,"202","203","F0:08:D1:D0:7B:84","2025-01-29 19:28:29",0
130943657,"202","0","F0:08:D1:D0:7B:84","2025-01-29 19:28:29",32
130943658,"202","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:29",0
130943659,"203","199","F0:08:D1:D0:7B:84","2025-01-29 19:28:29",0
