"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131292678,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292679,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292680,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292681,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292682,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292683,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292684,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292685,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292686,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292687,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292688,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292689,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292690,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292691,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292692,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292693,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292694,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292695,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:45",0
131292696,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292697,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292698,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292699,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292700,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292701,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292702,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292703,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292704,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292705,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292706,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292707,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292708,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292709,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292710,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292711,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292712,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:46",0
131292713,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292714,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292715,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292716,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292717,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292718,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292719,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292720,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292721,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292722,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292723,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292724,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292725,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292726,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292727,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292728,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292729,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292730,"197","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:47",0
131292731,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292732,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292733,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292734,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292735,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292736,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292737,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292738,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292739,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292740,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292741,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292742,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292743,"197","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292744,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292745,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292746,"197","82","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292747,"196","82","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292748,"197","78","F0:08:D1:D0:7B:84","2025-01-30 20:05:48",0
131292749,"196","37","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292750,"200","37","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292751,"83","204","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292752,"79","0","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",32
131292753,"199","34","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292754,"33","219","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292755,"30","0","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",32
131292756,"32","0","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",32
131292757,"32","220","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292758,"50","0","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",32
131292759,"35","223","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292760,"0","200","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",64
131292761,"0","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",64
131292762,"200","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292763,"199","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292764,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292765,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292766,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:49",0
131292767,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292768,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292769,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292770,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292771,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292772,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292773,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292774,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292775,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292776,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292777,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292778,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292779,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292780,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292781,"197","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292782,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292783,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:50",0
131292784,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292785,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292786,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292787,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292788,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292789,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292790,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292791,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292792,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292793,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292794,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292795,"197","199","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292796,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292797,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292798,"103","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292799,"29","153","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292800,"28","198","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
131292801,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:05:51",0
