"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131285354,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285355,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285356,"196","198","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285357,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285358,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285359,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285360,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285361,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285362,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285363,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285364,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285365,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285366,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285367,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285368,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285369,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285370,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285371,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:07",0
131285372,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:01:08",0
131285373,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:08",0
131285374,"198","197","F0:08:D1:D0:7B:84","2025-01-30 20:01:08",0
131285375,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:08",0
131285376,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:08",0
131285377,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:01:08",0
