"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131288860,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288861,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288862,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288863,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288864,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288865,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288866,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288867,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288868,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288869,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288870,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288871,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288872,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288873,"198","197","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288874,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288875,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288876,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288877,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:22",0
131288878,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288879,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288880,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288881,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288882,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288883,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288884,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288885,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288886,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288887,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288888,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288889,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288890,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288891,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288892,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288893,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288894,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:23",0
131288895,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288896,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288897,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288898,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288899,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288900,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288901,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288902,"198","196","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131288903,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:03:24",0
131289093,"84","78","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289094,"82","79","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289095,"28","138","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289096,"104","197","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289097,"107","31","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289098,"103","31","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289099,"103","30","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289100,"76","29","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289101,"34","0","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",32
131289102,"93","0","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",32
131289103,"101","30","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289104,"33","29","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289105,"29","54","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289106,"30","222","F0:08:D1:D0:7B:84","2025-01-30 20:03:28",0
131289107,"32","219","F0:08:D1:D0:7B:84","2025-01-30 20:03:29",0
131289108,"31","219","F0:08:D1:D0:7B:84","2025-01-30 20:03:29",0
131289109,"32","0","F0:08:D1:D0:7B:84","2025-01-30 20:03:29",32
131289110,"0","0","F0:08:D1:D0:7B:84","2025-01-30 20:03:29",64
131289111,"0","200","F0:08:D1:D0:7B:84","2025-01-30 20:03:29",64
