"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131287174,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287175,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287176,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287177,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287178,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287179,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287180,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287181,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287182,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287183,"198","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287184,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287185,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287186,"198","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287187,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287188,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287189,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287190,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:15",0
131287191,"197","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287192,"102","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287193,"196","196","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287194,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287195,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287196,"198","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287197,"197","196","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287198,"197","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287199,"104","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287200,"196","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287201,"103","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287202,"196","197","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287203,"102","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287204,"106","196","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
131287205,"99","195","F0:08:D1:D0:7B:84","2025-01-30 20:02:16",0
