"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
131250099,"198","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250100,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250101,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250102,"198","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250103,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250104,"198","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250105,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250106,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250107,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250108,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250109,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250110,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250111,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250112,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250113,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250114,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250115,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:50",0
131250116,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250117,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250118,"197","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250119,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250120,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250121,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250122,"197","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250123,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250124,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250125,"199","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250126,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250127,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250128,"198","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250129,"198","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250130,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250131,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250132,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250133,"198","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:51",0
131250134,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250135,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250136,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250137,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250138,"196","197","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250139,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250140,"196","196","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250141,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250142,"197","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
131250143,"196","195","F0:08:D1:D0:7B:84","2025-01-30 19:38:52",0
