"id","installation_id","device_id","temperature","humidity","number_people","measured_at","tvoc","co2"
1052002,10,28,"26.3","61",14,"2025-01-22 17:34:25","3","421"
1052001,10,28,"26.3","61",14,"2025-01-22 17:34:10","2","418"
1052000,10,28,"26.4","60",14,"2025-01-22 17:33:55","2","418"
1051999,10,28,"26.4","60",14,"2025-01-22 17:33:41","1","410"
1051998,10,28,"26.3","60",14,"2025-01-22 17:33:26","3","421"
1051997,10,28,"26.4","60",14,"2025-01-22 17:33:11","2","418"
1051996,10,28,"26.2","59",14,"2025-01-22 17:32:55","2","418"
1051995,10,28,"26.6","60",14,"2025-01-22 17:32:40","3","421"
1051994,10,28,"26.3","60",14,"2025-01-22 17:32:25","3","421"
1051993,10,28,"26.5","60",14,"2025-01-22 17:32:10","3","424"
1051992,10,28,"26.5","61",14,"2025-01-22 17:31:56","3","424"
1051991,10,28,"26.3","61",14,"2025-01-22 17:31:41","3","424"
1051990,10,28,"26.3","62",14,"2025-01-22 17:31:25","3","421"
1051989,10,28,"26","62",14,"2025-01-22 17:31:10","4","432"
1051988,10,28,"26.6","62",14,"2025-01-22 17:30:56","3","424"
1051987,10,28,"26.4","63",14,"2025-01-22 17:30:40","4","432"
1051986,10,28,"26.6","63",14,"2025-01-22 17:30:26","4","432"
1051985,10,28,"26.6","64",14,"2025-01-22 17:30:10","4","432"
1051984,10,28,"26.5","64",14,"2025-01-22 17:29:56","3","424"
1051983,10,28,"26.4","65",14,"2025-01-22 17:29:40","6","444"
1051982,10,28,"26.3","65",13,"2025-01-22 17:29:26","5","435"
