"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
129423561,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423562,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423563,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423564,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423565,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423566,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423567,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423568,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423569,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423570,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423571,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423572,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423573,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423574,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423575,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423576,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423577,"206","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423578,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423579,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:38",0
129423545,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423560,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423559,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423558,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423557,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423556,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423555,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423554,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423553,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423552,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423551,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423550,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423549,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423548,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423547,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423546,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423544,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423543,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423542,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:37",0
129423524,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423541,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423540,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423539,"206","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423538,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423537,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423536,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423535,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423534,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423533,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423532,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423531,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423530,"206","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423529,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423528,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423527,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423523,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423526,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423525,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:36",0
129423518,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423504,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423505,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423506,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423507,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423508,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423509,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423510,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423511,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423512,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423513,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423514,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423515,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423516,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423522,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423521,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423520,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423519,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423517,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:35",0
129423484,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423485,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423486,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423487,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423488,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423489,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423490,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423491,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423492,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423493,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423494,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423495,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423496,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423497,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423498,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423499,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423500,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423501,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423502,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423503,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:34",0
129423465,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423466,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423467,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423468,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423469,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423470,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423471,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423472,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423473,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423474,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423475,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423476,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423477,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423478,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423479,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423480,"206","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423481,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423482,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423483,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:33",0
129423458,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423464,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423463,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423462,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423461,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423460,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423459,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423457,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423456,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423455,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423454,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423453,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423452,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423451,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423450,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423449,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423448,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423447,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423446,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:32",0
129423430,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423438,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423439,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423440,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423441,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423442,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423437,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423436,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423435,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423434,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423433,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423445,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423432,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423444,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423443,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423427,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423428,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423429,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423431,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:31",0
129423422,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423423,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423424,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423425,"204","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423426,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423418,"205","110","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423419,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
129423420,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:34:30",0
