"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
129437255,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437261,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437260,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437259,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437258,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437257,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437256,"154","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:55",0
129437249,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437254,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437253,"207","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437252,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437251,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437250,"153","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437248,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:54",0
129437242,"204","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437247,"205","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437246,"206","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437245,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437244,"206","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437243,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437241,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:53",0
129437235,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437240,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437239,"207","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437238,"151","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437237,"151","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437236,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437234,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:52",0
129437226,"152","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437233,"155","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437232,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437231,"151","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437230,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437229,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437228,"205","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437227,"205","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:51",0
129437219,"83","35","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",0
129437225,"205","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",0
129437224,"206","206","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",0
129437223,"207","0","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",32
129437222,"0","0","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",32
129437221,"0","41","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",64
129437220,"0","0","E8:31:CD:D6:FE:A8","2025-01-22 18:08:50",32
129437213,"0","34","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",64
129437218,"0","35","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",64
129437217,"0","34","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",64
129437216,"0","34","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",64
129437215,"0","36","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",64
129437214,"0","36","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",64
129437212,"212","34","E8:31:CD:D6:FE:A8","2025-01-22 18:08:49",0
129437205,"0","32","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",64
129437211,"153","36","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437210,"152","36","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437209,"212","35","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437208,"212","36","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437207,"214","32","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437206,"34","32","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437204,"32","33","E8:31:CD:D6:FE:A8","2025-01-22 18:08:48",0
129437199,"33","30","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437203,"34","33","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437202,"32","32","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437201,"33","31","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437200,"34","31","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437198,"32","30","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437197,"31","29","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437196,"31","29","E8:31:CD:D6:FE:A8","2025-01-22 18:08:47",0
129437188,"153","33","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",0
129437195,"32","29","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",0
129437194,"33","29","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",0
129437193,"0","30","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",64
129437192,"0","30","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",64
129437191,"0","31","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",64
129437190,"0","32","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",64
129437189,"0","32","E8:31:CD:D6:FE:A8","2025-01-22 18:08:46",64
129437182,"153","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437187,"204","207","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437186,"205","206","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437185,"204","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437184,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437183,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437181,"206","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:45",0
129437175,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437180,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437179,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437178,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437177,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437176,"152","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437174,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:44",0
129437168,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437173,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437172,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437171,"205","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437170,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437169,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437167,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:43",0
129437159,"205","205","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437166,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437165,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437164,"207","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437163,"153","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437162,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437161,"152","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437160,"152","204","E8:31:CD:D6:FE:A8","2025-01-22 18:08:42",0
129437152,"239","35","E8:31:CD:D6:FE:A8","2025-01-22 18:08:41",0
129437158,"154","154","E8:31:CD:D6:FE:A8","2025-01-22 18:08:41",0
129437157,"211","207","E8:31:CD:D6:FE:A8","2025-01-22 18:08:41",0
129437156,"154","223","E8:31:CD:D6:FE:A8","2025-01-22 18:08:41",0
129437155,"152","34","E8:31:CD:D6:FE:A8","2025-01-22 18:08:41",0
129437154,"239","34","E8:31:CD:D6:FE:A8","2025-01-22 18:08:41",0
