"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
129426103,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:21",0
129426100,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:21",0
129426102,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:21",0
129426101,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:21",0
129426099,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:20",0
129426095,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:20",0
129426096,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:20",0
129426097,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:20",0
129426098,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:20",0
129426091,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:19",0
129426092,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:19",0
129426093,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:19",0
129426094,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:19",0
129426087,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:18",0
129426088,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:18",0
129426089,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:18",0
129426090,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:18",0
129426082,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:17",0
129426086,"205","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:17",0
129426083,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:17",0
129426084,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:17",0
129426085,"204","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:17",0
129426078,"204","121","E8:31:CD:D6:FE:A8","2025-01-22 17:39:16",0
129426081,"204","107","E8:31:CD:D6:FE:A8","2025-01-22 17:39:16",0
129426080,"113","109","E8:31:CD:D6:FE:A8","2025-01-22 17:39:16",0
129426079,"117","119","E8:31:CD:D6:FE:A8","2025-01-22 17:39:16",0
129426077,"206","2","E8:31:CD:D6:FE:A8","2025-01-22 17:39:15",0
129426074,"125","121","E8:31:CD:D6:FE:A8","2025-01-22 17:39:15",0
129426075,"204","119","E8:31:CD:D6:FE:A8","2025-01-22 17:39:15",0
129426076,"205","2","E8:31:CD:D6:FE:A8","2025-01-22 17:39:15",0
129426073,"153","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:14",0
129426072,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:14",0
129426071,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:14",0
129426070,"207","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:14",0
129426069,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:13",0
129426068,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:13",0
129426067,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:13",0
129426066,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:13",0
129426065,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:13",0
129426064,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:12",0
129426063,"151","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:12",0
129426062,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:12",0
129426061,"204","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:12",0
129426060,"204","205","E8:31:CD:D6:FE:A8","2025-01-22 17:39:11",0
129426059,"208","35","E8:31:CD:D6:FE:A8","2025-01-22 17:39:11",0
129426058,"34","33","E8:31:CD:D6:FE:A8","2025-01-22 17:39:11",0
129426057,"37","206","E8:31:CD:D6:FE:A8","2025-01-22 17:39:11",0
129426056,"153","152","E8:31:CD:D6:FE:A8","2025-01-22 17:39:10",0
129426055,"206","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:10",0
129426054,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:10",0
129426053,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:10",0
129426048,"205","204","E8:31:CD:D6:FE:A8","2025-01-22 17:39:09",0
