"id","distance_cm_inside","distance_cm_outside","device_code","measured_at","errors"
130719653,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719652,"206","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719651,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719650,"205","108","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719660,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719659,"206","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719658,"205","108","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719657,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719656,"204","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719655,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719654,"205","108","E8:31:CD:D6:FE:A8","2025-01-24 16:44:27",0
130719639,"117","112","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719638,"205","117","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719637,"206","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719636,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719635,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719634,"205","108","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719633,"179","110","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719631,"181","150","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719632,"205","205","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719649,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719648,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719647,"205","108","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719646,"205","109","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719645,"205","111","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719644,"205","105","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719643,"205","104","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719642,"205","107","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719641,"206","152","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719640,"205","112","E8:31:CD:D6:FE:A8","2025-01-24 16:44:26",0
130719628,"205","2","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719630,"206","110","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719629,"205","155","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719627,"205","2","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719626,"111","4","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719625,"112","117","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719624,"111","204","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719623,"153","96","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719622,"152","204","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719621,"206","117","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719620,"153","150","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719619,"155","91","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719618,"155","159","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719617,"206","158","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719616,"155","150","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719615,"206","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719614,"207","204","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719613,"206","150","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719612,"206","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719611,"205","153","E8:31:CD:D6:FE:A8","2025-01-24 16:44:25",0
130719608,"206","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719607,"207","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719606,"205","150","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719605,"205","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719604,"205","204","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719603,"205","151","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719602,"205","152","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
130719601,"156","86","E8:31:CD:D6:FE:A8","2025-01-24 16:44:24",0
